,carType,year
681,ICE,2014
682,ICE,2014
683,ICE,2014
684,ICE,2015
685,ICE,2015
686,ICE,2015
687,ICE,2015
688,ICE,2015
689,ICE,2015
690,ICE,2015
691,ICE,2015
692,ICE,2015
693,ICE,2015
694,ICE,2015
695,ICE,2015
696,ICE,2015
697,ICE,2015
698,ICE,2015
699,ICE,2015
700,ICE,2015
701,ICE,2015
702,ICE,2015
703,ICE,2015
704,ICE,2016
705,ICE,2016
706,ICE,2016
707,ICE,2016
708,ICE,2016
709,ICE,2016
710,ICE,2016
711,ICE,2016
712,ICE,2016
713,ICE,2016
714,ICE,2016
715,ICE,2016
716,ICE,2016
717,ICE,2016
718,ICE,2016
719,ICE,2016
720,ICE,2016
721,ICE,2016
722,ICE,2016
723,ICE,2016
724,ICE,2018
725,ICE,2018
726,ICE,2018
727,ICE,2018
728,EV,2018
729,ICE,2018
730,ICE,2018
731,ICE,2018
732,ICE,2018
733,ICE,2018
734,ICE,2018
735,EV,2018
736,EV,2018
737,ICE,2018
738,ICE,2018
739,ICE,2018
740,ICE,2018
741,ICE,2018
742,ICE,2018
743,ICE,2018
744,ICE,2019
745,ICE,2019
746,ICE,2019
747,ICE,2019
748,ICE,2019
749,EV,2019
750,ICE,2019
751,ICE,2019
752,ICE,2019
753,ICE,2019
754,ICE,2019
755,ICE,2019
756,ICE,2019
757,ICE,2019
758,ICE,2019
759,ICE,2019
760,ICE,2019
761,ICE,2019
762,ICE,2019
763,ICE,2019
764,ICE,2020
765,ICE,2020
766,ICE,2020
767,ICE,2020
768,ICE,2020
769,EV,2020
770,ICE,2020
771,ICE,2020
772,ICE,2020
773,ICE,2020
774,EV,2020
775,ICE,2020
776,ICE,2020
777,EV,2020
778,ICE,2020
779,ICE,2020
780,ICE,2020
781,ICE,2020
782,EV,2020
783,ICE,2020
784,ICE,2021
785,ICE,2021
786,ICE,2021
787,EV,2021
788,ICE,2021
789,ICE,2021
790,ICE,2021
791,EV,2021
792,ICE,2021
793,ICE,2021
794,EV,2021
795,ICE,2021
796,EV,2021
797,ICE,2021
798,ICE,2021
799,ICE,2021
800,EV,2021
801,EV,2021
802,ICE,2021
803,ICE,2021
804,ICE,2011
805,ICE,2011
806,ICE,2011
807,ICE,2011
808,ICE,2011
809,ICE,2011
810,ICE,2011
811,ICE,2011
812,ICE,2011
813,ICE,2011
814,ICE,2011
815,ICE,2011
816,ICE,2011
817,ICE,2011
818,ICE,2011
819,ICE,2011
820,ICE,2011
821,ICE,2011
822,ICE,2011
823,ICE,2011
824,ICE,2012
825,ICE,2012
826,ICE,2012
827,ICE,2012
828,ICE,2012
829,EV,2012
830,ICE,2012
831,ICE,2012
832,ICE,2012
833,ICE,2012
834,ICE,2012
835,ICE,2012
836,ICE,2012
837,ICE,2012
838,ICE,2012
839,ICE,2012
840,ICE,2012
841,ICE,2012
842,ICE,2012
843,ICE,2012
844,ICE,2013
845,ICE,2013
846,ICE,2013
847,ICE,2013
848,ICE,2013
849,ICE,2013
850,ICE,2013
851,ICE,2013
852,ICE,2013
853,ICE,2013
854,ICE,2013
855,ICE,2013
856,ICE,2013
857,ICE,2013
858,ICE,2013
859,ICE,2013
860,ICE,2013
861,ICE,2013
862,ICE,2013
863,ICE,2013
864,ICE,2014
865,ICE,2014
866,ICE,2014
867,ICE,2014
868,ICE,2014
869,ICE,2014
870,ICE,2014
871,ICE,2014
872,ICE,2014
874,ICE,2014
875,ICE,2014
876,ICE,2014
877,ICE,2014
878,ICE,2014
879,ICE,2014
880,ICE,2014
881,ICE,2014
882,ICE,2014
883,ICE,2014
884,ICE,2015
885,ICE,2015
886,ICE,2015
887,ICE,2015
888,ICE,2015
889,ICE,2015
890,ICE,2015
891,ICE,2015
892,ICE,2015
893,ICE,2015
894,ICE,2015
895,ICE,2015
896,ICE,2015
897,ICE,2015
898,ICE,2015
899,ICE,2015
900,ICE,2015
901,ICE,2015
902,ICE,2015
903,ICE,2015
904,ICE,2016
905,ICE,2016
906,ICE,2016
907,ICE,2016
908,ICE,2016
909,ICE,2016
910,ICE,2016
911,ICE,2016
912,ICE,2016
913,ICE,2016
914,ICE,2016
915,ICE,2016
916,ICE,2016
917,ICE,2016
918,EV,2016
919,ICE,2016
920,ICE,2016
921,ICE,2016
922,ICE,2016
923,ICE,2017
924,ICE,2017
925,ICE,2017
926,ICE,2017
927,ICE,2017
928,ICE,2017
929,ICE,2017
930,ICE,2017
931,ICE,2017
932,ICE,2017
933,ICE,2017
934,ICE,2017
935,ICE,2017
936,ICE,2017
937,ICE,2017
938,ICE,2017
939,ICE,2017
940,ICE,2017
941,ICE,2017
942,ICE,2018
943,ICE,2018
944,ICE,2018
945,ICE,2018
946,ICE,2018
947,ICE,2018
948,ICE,2018
949,ICE,2018
950,ICE,2018
951,ICE,2018
952,ICE,2018
953,ICE,2018
954,ICE,2018
955,ICE,2018
956,ICE,2018
957,ICE,2018
958,ICE,2018
959,ICE,2018
960,ICE,2018
961,ICE,2018
962,ICE,2019
963,ICE,2019
964,ICE,2019
965,ICE,2019
966,ICE,2019
967,ICE,2019
968,ICE,2019
969,ICE,2019
970,ICE,2019
971,ICE,2019
972,ICE,2019
973,ICE,2019
974,ICE,2019
975,ICE,2019
976,ICE,2019
977,EV,2019
978,ICE,2019
979,ICE,2019
980,ICE,2019
981,ICE,2019
982,ICE,2020
983,ICE,2020
984,ICE,2020
985,ICE,2020
986,ICE,2020
987,ICE,2020
988,ICE,2020
989,ICE,2020
990,ICE,2020
991,ICE,2020
992,ICE,2020
993,ICE,2020
994,ICE,2020
995,ICE,2020
996,ICE,2020
997,ICE,2020
998,ICE,2020
999,ICE,2020
1000,ICE,2020
1001,ICE,2020
1002,ICE,2021
1003,ICE,2021
1004,ICE,2021
1005,EV,2021
1006,EV,2021
1007,ICE,2021
1008,EV,2021
