,year,carType
733,2018,ICE
734,2018,ICE
735,2018,ICE
736,2018,ICE
737,2018,ICE
738,2018,ICE
739,2018,ICE
740,2018,ICE
741,2018,ICE
742,2018,ICE
743,2018,ICE
744,2019,ICE
745,2019,ICE
746,2019,ICE
747,2019,ICE
748,2019,ICE
749,2019,ICE
750,2019,ICE
751,2019,ICE
752,2019,ICE
753,2019,ICE
754,2019,ICE
755,2019,ICE
756,2019,ICE
757,2019,ICE
758,2019,ICE
759,2019,ICE
760,2019,ICE
761,2019,ICE
762,2019,ICE
763,2019,ICE
764,2020,ICE
765,2020,ICE
766,2020,ICE
767,2020,ICE
768,2020,ICE
769,2020,ICE
770,2020,ICE
771,2020,ICE
772,2020,ICE
773,2020,ICE
774,2020,ICE
775,2020,ICE
776,2020,ICE
777,2020,EV
778,2020,ICE
779,2020,ICE
780,2020,ICE
781,2020,ICE
782,2020,ICE
783,2020,ICE
784,2021,ICE
785,2021,ICE
786,2021,ICE
787,2021,ICE
788,2021,ICE
789,2021,ICE
790,2021,ICE
791,2021,EV
792,2021,ICE
793,2021,ICE
794,2021,ICE
795,2021,ICE
796,2021,EV
797,2021,ICE
798,2021,ICE
799,2021,ICE
800,2021,ICE
801,2021,ICE
802,2021,ICE
803,2021,ICE
804,2011,ICE
805,2011,ICE
806,2011,ICE
807,2011,ICE
808,2011,ICE
809,2011,ICE
810,2011,ICE
811,2011,ICE
812,2011,ICE
813,2011,ICE
814,2011,ICE
815,2011,ICE
816,2011,ICE
817,2011,ICE
818,2011,ICE
819,2011,ICE
820,2011,ICE
821,2011,ICE
822,2011,ICE
823,2011,ICE
824,2012,ICE
825,2012,ICE
826,2012,ICE
827,2012,ICE
828,2012,ICE
829,2012,ICE
830,2012,ICE
831,2012,ICE
832,2012,ICE
833,2012,ICE
834,2012,ICE
835,2012,ICE
836,2012,ICE
837,2012,ICE
838,2012,ICE
839,2012,ICE
840,2012,ICE
841,2012,ICE
842,2012,ICE
843,2012,ICE
844,2013,ICE
845,2013,ICE
846,2013,ICE
847,2013,ICE
848,2013,ICE
849,2013,ICE
850,2013,ICE
851,2013,ICE
852,2013,ICE
853,2013,ICE
854,2013,ICE
855,2013,ICE
856,2013,ICE
857,2013,ICE
858,2013,ICE
859,2013,ICE
860,2013,ICE
861,2013,ICE
862,2013,ICE
863,2013,ICE
864,2014,ICE
865,2014,ICE
866,2014,ICE
867,2014,ICE
868,2014,ICE
869,2014,ICE
870,2014,ICE
871,2014,ICE
872,2014,ICE
874,2014,ICE
875,2014,ICE
876,2014,ICE
877,2014,ICE
878,2014,ICE
879,2014,ICE
880,2014,ICE
881,2014,ICE
882,2014,ICE
883,2014,ICE
884,2015,ICE
885,2015,ICE
886,2015,ICE
887,2015,ICE
888,2015,ICE
889,2015,ICE
890,2015,ICE
891,2015,ICE
892,2015,ICE
893,2015,ICE
894,2015,ICE
895,2015,ICE
896,2015,ICE
897,2015,ICE
898,2015,ICE
899,2015,ICE
900,2015,ICE
901,2015,ICE
902,2015,ICE
903,2015,ICE
904,2016,ICE
905,2016,ICE
906,2016,ICE
907,2016,ICE
908,2016,ICE
909,2016,ICE
910,2016,ICE
911,2016,ICE
912,2016,ICE
913,2016,ICE
914,2016,ICE
915,2016,ICE
916,2016,ICE
917,2016,ICE
918,2016,EV
919,2016,ICE
920,2016,ICE
921,2016,ICE
922,2016,ICE
923,2017,ICE
924,2017,ICE
925,2017,ICE
926,2017,ICE
927,2017,ICE
928,2017,ICE
929,2017,ICE
930,2017,ICE
931,2017,ICE
932,2017,ICE
933,2017,ICE
934,2017,ICE
935,2017,ICE
936,2017,ICE
937,2017,ICE
938,2017,ICE
939,2017,ICE
940,2017,ICE
941,2017,ICE
942,2018,ICE
943,2018,ICE
944,2018,ICE
945,2018,ICE
946,2018,ICE
947,2018,ICE
948,2018,ICE
949,2018,ICE
950,2018,ICE
951,2018,ICE
952,2018,ICE
953,2018,ICE
954,2018,ICE
955,2018,ICE
956,2018,ICE
957,2018,ICE
958,2018,ICE
959,2018,ICE
960,2018,ICE
961,2018,ICE
962,2019,ICE
963,2019,ICE
964,2019,ICE
965,2019,ICE
966,2019,ICE
967,2019,ICE
968,2019,ICE
969,2019,ICE
970,2019,ICE
971,2019,ICE
972,2019,ICE
973,2019,ICE
974,2019,ICE
975,2019,ICE
976,2019,ICE
977,2019,EV
978,2019,ICE
979,2019,ICE
980,2019,ICE
981,2019,ICE
982,2020,ICE
983,2020,ICE
984,2020,ICE
985,2020,ICE
986,2020,ICE
987,2020,ICE
988,2020,ICE
989,2020,ICE
990,2020,ICE
991,2020,ICE
992,2020,ICE
993,2020,ICE
994,2020,ICE
995,2020,ICE
996,2020,ICE
997,2020,ICE
998,2020,ICE
999,2020,ICE
1000,2020,ICE
1001,2020,ICE
1002,2021,ICE
1003,2021,ICE
1004,2021,ICE
1005,2021,ICE
1006,2021,ICE
1007,2021,ICE
1008,2021,EV
1009,2021,ICE
1010,2021,ICE
1011,2021,ICE
1012,2021,ICE
1013,2021,ICE
1014,2021,ICE
1015,2021,ICE
1016,2021,ICE
1017,2021,ICE
1018,2021,ICE
1019,2021,ICE
1020,2021,ICE
1021,2021,ICE
1022,2011,ICE
1023,2011,ICE
1024,2011,ICE
1025,2011,ICE
1026,2011,ICE
1027,2011,ICE
1028,2011,ICE
1029,2011,ICE
1030,2011,ICE
1031,2011,ICE
1032,2011,ICE
1033,2011,ICE
1034,2011,ICE
1035,2011,ICE
1036,2011,ICE
1037,2011,ICE
1038,2011,ICE
1039,2011,ICE
1040,2011,ICE
1041,2011,ICE
1042,2012,ICE
1043,2012,ICE
1044,2012,ICE
1045,2012,ICE
1046,2012,ICE
1047,2012,ICE
1048,2012,ICE
1049,2012,ICE
1050,2012,ICE
1051,2012,ICE
1052,2012,ICE
1053,2012,ICE
1054,2012,ICE
1055,2012,ICE
1056,2012,ICE
1057,2012,ICE
1058,2012,ICE
1059,2012,ICE
1060,2012,ICE
1061,2012,ICE
1062,2013,ICE
1063,2013,ICE
1064,2013,ICE
1065,2013,ICE
1066,2013,ICE
1067,2013,ICE
1068,2013,ICE
1069,2013,ICE
1070,2013,ICE
1071,2013,ICE
1072,2013,ICE
1073,2013,ICE
1074,2013,ICE
1075,2013,ICE
1076,2013,ICE
1077,2013,ICE
1078,2013,ICE
1079,2013,ICE
1080,2013,ICE
1081,2013,ICE
1082,2014,ICE
1083,2014,ICE
1084,2014,ICE
1085,2014,ICE
1086,2014,ICE
1087,2014,EV
1088,2014,ICE
1089,2014,ICE
1090,2014,ICE
1091,2014,ICE
1092,2014,ICE
1093,2014,ICE
1094,2014,ICE
1095,2014,ICE
1096,2014,ICE
1097,2014,ICE
1098,2014,ICE
1099,2014,ICE
1100,2014,ICE
1101,2014,ICE
1102,2015,ICE
1103,2015,ICE
1104,2015,ICE
1105,2015,ICE
1106,2015,ICE
1107,2015,ICE
1108,2015,ICE
1109,2015,ICE
1110,2015,ICE
1111,2015,ICE
1112,2015,ICE
1113,2015,ICE
1114,2015,ICE
1115,2015,ICE
1116,2015,ICE
1117,2015,ICE
1118,2015,ICE
1119,2015,ICE
1120,2015,ICE
1121,2016,ICE
1122,2016,ICE
1123,2016,ICE
1124,2016,ICE
1125,2016,ICE
1126,2016,ICE
1127,2016,ICE
1128,2016,ICE
1129,2016,ICE
1130,2016,ICE
1131,2016,ICE
1132,2016,ICE
1133,2016,ICE
1134,2016,ICE
1135,2016,ICE
1136,2016,ICE
1137,2016,ICE
1138,2016,ICE
1139,2016,ICE
1140,2016,ICE
1141,2017,ICE
1142,2017,ICE
1143,2017,ICE
1144,2017,ICE
1145,2017,ICE
1146,2017,ICE
1147,2017,ICE
1148,2017,ICE
1149,2017,ICE
1150,2017,ICE
1151,2017,ICE
1152,2017,ICE
1153,2017,ICE
1154,2017,ICE
1155,2017,ICE
1156,2017,ICE
1157,2017,ICE
1158,2017,ICE
1159,2017,ICE
1160,2017,ICE
1161,2018,ICE
1162,2018,ICE
1163,2018,ICE
1164,2018,ICE
1165,2018,ICE
1166,2018,ICE
1167,2018,ICE
1168,2018,ICE
1169,2018,ICE
1170,2018,ICE
1171,2018,ICE
1172,2018,ICE
1173,2018,ICE
1174,2018,ICE
1175,2018,ICE
1176,2018,ICE
1177,2018,ICE
1178,2018,ICE
1179,2018,ICE
1180,2018,ICE
1181,2019,ICE
1182,2019,ICE
1183,2019,ICE
1184,2019,ICE
1185,2019,ICE
1186,2019,ICE
1187,2019,ICE
1188,2019,ICE
1189,2019,ICE
1190,2019,ICE
1191,2019,ICE
1192,2019,EV
1193,2019,ICE
1194,2019,ICE
1195,2019,ICE
1196,2019,ICE
1197,2019,ICE
1198,2019,ICE
1199,2019,ICE
1200,2019,ICE
1201,2021,ICE
1202,2021,ICE
1203,2021,ICE
1204,2021,ICE
1205,2021,ICE
1206,2021,ICE
1207,2021,ICE
1208,2021,ICE
1209,2021,ICE
1210,2021,ICE
1211,2021,ICE
1212,2021,ICE
1213,2021,ICE
1214,2021,ICE
1215,2021,ICE
1216,2021,ICE
1217,2021,ICE
1218,2021,ICE
1219,2021,ICE
1220,2021,ICE
1221,2011,ICE
1222,2011,ICE
1223,2011,ICE
1224,2011,ICE
1225,2011,ICE
1226,2011,ICE
1227,2011,ICE
1228,2011,ICE
1229,2011,ICE
1230,2011,ICE
1231,2011,ICE
1232,2011,ICE
1233,2011,ICE
1234,2011,ICE
1235,2011,ICE
1236,2011,ICE
1237,2011,ICE
1238,2011,ICE
1239,2011,ICE
1240,2011,ICE
1241,2012,ICE
1242,2012,ICE
1243,2012,ICE
1244,2012,ICE
1245,2012,ICE
1246,2012,ICE
1247,2012,ICE
1248,2012,ICE
1249,2012,ICE
1250,2012,ICE
1251,2012,ICE
1252,2012,ICE
1253,2012,ICE
1254,2012,ICE
1255,2012,ICE
1256,2012,ICE
1257,2012,ICE
1258,2012,ICE
1259,2012,ICE
1260,2012,ICE
1261,2013,ICE
1262,2013,ICE
1263,2013,ICE
1264,2013,ICE
1265,2013,ICE
1266,2013,ICE
1267,2013,ICE
1268,2013,ICE
1269,2013,ICE
1270,2013,ICE
1271,2013,ICE
1272,2013,ICE
1273,2013,ICE
1274,2013,ICE
1275,2013,ICE
1276,2013,ICE
1277,2013,ICE
1278,2013,ICE
1279,2013,ICE
1280,2013,ICE
1281,2014,ICE
1282,2014,ICE
1283,2014,ICE
1284,2014,ICE
1285,2014,ICE
1286,2014,ICE
1287,2014,ICE
1288,2014,ICE
1289,2014,ICE
1290,2014,ICE
1291,2014,ICE
1292,2014,ICE
1293,2014,ICE
1294,2014,ICE
1295,2014,ICE
1296,2014,ICE
1297,2014,ICE
1298,2014,ICE
1299,2014,ICE
1300,2014,ICE
1301,2015,ICE
1302,2015,ICE
1303,2015,ICE
1304,2015,ICE
1305,2015,ICE
1306,2015,ICE
1307,2015,ICE
1308,2015,ICE
1309,2015,ICE
1310,2015,ICE
1311,2015,ICE
1312,2015,ICE
1313,2015,ICE
1314,2015,ICE
1315,2015,ICE
1316,2015,ICE
1317,2015,ICE
1318,2015,ICE
1319,2015,ICE
1320,2016,ICE
1321,2016,ICE
1322,2016,ICE
1323,2016,ICE
1324,2016,ICE
1325,2016,ICE
1326,2016,ICE
1327,2016,ICE
1328,2016,ICE
1329,2016,ICE
1330,2016,ICE
1331,2016,ICE
1332,2016,ICE
1334,2016,ICE
1335,2016,ICE
1336,2016,ICE
1337,2016,ICE
1338,2016,ICE
1339,2016,ICE
1340,2017,ICE
1341,2017,ICE
1342,2017,ICE
1343,2017,ICE
1344,2017,ICE
1345,2017,ICE
1346,2017,ICE
1347,2017,ICE
1348,2017,ICE
1349,2017,ICE
1350,2017,ICE
1351,2017,ICE
1352,2017,ICE
1353,2017,ICE
1354,2017,ICE
1355,2017,ICE
1356,2017,ICE
1357,2017,ICE
1358,2017,ICE
1359,2017,ICE
1360,2018,ICE
1361,2018,ICE
1362,2018,ICE
