,mileage,make,model,fuel,gear,offerType,price,hp,year,carType
38090,55000,smart,forTwo,Electric,Automatic,Used,4950,75.0,2014,EV
38102,32124,smart,forTwo,Electric,Automatic,Used,5990,48.0,2014,EV
38166,55356,Renault,ZOE,Electric,Automatic,Used,6990,88.0,2014,EV
38579,64185,Renault,ZOE,Electric,Automatic,Used,6688,88.0,2015,EV
38610,13101,Renault,ZOE,Electric,Automatic,Used,8990,58.0,2015,EV
38855,21750,Renault,ZOE,Electric,Automatic,Used,7980,58.0,2015,EV
38864,37985,Renault,ZOE,Electric,Automatic,Used,7988,92.0,2015,EV
38936,30390,Nissan,Leaf,Electric,Automatic,Used,10890,109.0,2015,EV
38938,14490,Nissan,Leaf,Electric,Automatic,Used,10890,109.0,2015,EV
39007,35500,Volkswagen,up!,Electric,Automatic,Demonstration,13850,82.0,2015,EV
39051,82400,Nissan,E-NV200,Electric,Automatic,Used,10990,109.0,2015,EV
39120,44900,BMW,i3,Electric,Automatic,Used,14400,170.0,2015,EV
39216,61000,Renault,ZOE,Electric,Automatic,Used,6099,58.0,2015,EV
39222,37407,Renault,ZOE,Electric,Automatic,Used,6470,58.0,2015,EV
39348,34490,smart,forTwo,Electric,Automatic,Used,6490,75.0,2015,EV
39393,26800,Renault,ZOE,Electric,Automatic,Used,6990,92.0,2015,EV
39452,37092,Renault,ZOE,Electric,Automatic,Used,7290,58.0,2015,EV
39481,16000,Volkswagen,Golf,Electric,Automatic,Used,15480,116.0,2015,EV
39626,30000,Renault,ZOE,Electric,Automatic,Used,7999,58.0,2016,EV
39632,37000,Renault,ZOE,Electric,Automatic,Used,7999,58.0,2016,EV
39688,35270,Renault,ZOE,Electric,Automatic,Used,8490,58.0,2016,EV
39689,95230,Renault,Kangoo,Electric,Automatic,Used,8490,60.0,2016,EV
39752,12910,Renault,ZOE,Electric,Automatic,Used,8880,88.0,2016,EV
39861,26000,Renault,ZOE,Electric,Automatic,Used,9233,58.0,2016,EV
40096,58390,Renault,ZOE,Electric,Automatic,Used,6888,92.0,2016,EV
40126,36400,Renault,ZOE,Electric,Automatic,Used,6580,58.0,2016,EV
40127,52711,Renault,ZOE,Electric,Automatic,Used,6890,58.0,2016,EV
40128,61500,Renault,ZOE,Electric,Automatic,Used,6970,88.0,2016,EV
40131,45500,Renault,ZOE,Electric,Automatic,Used,7090,88.0,2016,EV
40132,44147,Renault,ZOE,Electric,Automatic,Used,7990,58.0,2016,EV
40140,30400,Renault,Kangoo Z.E.,Electric,Automatic,Used,9790,60.0,2016,EV
40151,48214,Renault,ZOE,Electric,Automatic,Used,7990,58.0,2016,EV
40155,27495,Renault,ZOE,Electric,Automatic,Used,8489,58.0,2016,EV
40157,57683,Renault,ZOE,Electric,Automatic,Used,8590,58.0,2016,EV
40162,28965,Renault,ZOE,Electric,Automatic,Used,8990,58.0,2016,EV
40165,25298,Renault,ZOE,Electric,Automatic,Used,6990,58.0,2016,EV
40245,35500,Renault,Kangoo Z.E.,Electric,Automatic,Used,11650,60.0,2016,EV
40404,63205,Tesla,Model X,Electric,Automatic,Used,99999,772.0,2016,EV
40494,47000,Renault,Twizy,Electric,Automatic,Used,4700,11.0,2016,EV
40512,37500,Renault,ZOE,Electric,Automatic,Used,7860,58.0,2016,EV
40636,53500,Renault,ZOE,Electric,Automatic,Used,7240,88.0,2016,EV
40646,38668,Renault,ZOE,Electric,Automatic,Used,7490,58.0,2016,EV
40772,11700,Peugeot,iOn,Electric,Automatic,Used,8490,48.0,2017,EV
40836,14004,smart,forTwo,Electric,Automatic,Used,8990,82.0,2017,EV
41166,12800,smart,forTwo,Electric,Automatic,Used,8900,82.0,2017,EV
41268,28300,Renault,ZOE,Electric,Automatic,Used,8990,58.0,2017,EV
41269,13500,Renault,ZOE,Electric,Automatic,Used,8990,88.0,2017,EV
41273,40750,Renault,ZOE,Electric,Automatic,Used,10447,92.0,2017,EV
41276,10900,Renault,ZOE,Electric,Automatic,Used,10950,92.0,2017,EV
41301,9304,Renault,Twizy,Electric,Automatic,Used,4990,11.0,2017,EV
41305,65726,Renault,ZOE,Electric,Automatic,Used,8390,58.0,2017,EV
41307,49040,Renault,ZOE,Electric,Automatic,Used,9981,58.0,2017,EV
41423,23220,Renault,ZOE,Electric,Automatic,Used,12590,58.0,2017,EV
